# line thread mrep count
1 1 skip_list 35516
2 1 prefix_hash 50038
3 1 hash_linkedlist 66840
5 2 skip_list 158939
6 2 prefix_hash 174216
7 2 hash_linkedlist 81896
9 4 skip_list 203914
10 4 prefix_hash 316140
11 4 hash_linkedlist 220052
13 8 skip_list 550180
14 8 prefix_hash 288992
15 8 hash_linkedlist 394267
17 16 skip_list 510077
18 16 prefix_hash 1116592
19 16 hash_linkedlist 478417
