# line thread mrep count
1 1 skip_list 369003
2 1 cuckoo 4
3 1 prefix_hash 446428
4 1 hash_linkedlist 492610
6 2 skip_list 400000
7 2 cuckoo 9
8 2 prefix_hash 511508
9 2 hash_linkedlist 851063
11 4 skip_list 529100
12 4 cuckoo 18
13 4 prefix_hash 667779
14 4 hash_linkedlist 869565
16 8 skip_list 820512
17 8 cuckoo 36
18 8 prefix_hash 976800
19 8 hash_linkedlist 898876
21 16 skip_list 818833
22 16 cuckoo 61
23 16 prefix_hash 1573254
24 16 hash_linkedlist 597683
