# line thread mrep count
1 1 skip_list 160758
2 1 prefix_hash 247831
3 1 hash_linkedlist 284226
5 2 skip_list 272748
6 2 prefix_hash 367809
7 2 hash_linkedlist 386180
9 4 skip_list 412973
10 4 prefix_hash 510136
11 4 hash_linkedlist 486837
13 8 skip_list 447224
14 8 prefix_hash 583686
15 8 hash_linkedlist 476023
17 16 skip_list 502784
18 16 prefix_hash 692581
19 16 hash_linkedlist 560947
