# line thread mrep count
1 1 skip_list 465439
2 1 cuckoo 1848812
4 2 skip_list 841669
5 2 cuckoo 3218608
7 4 skip_list 1408960
8 4 cuckoo 5369472
10 8 skip_list 2640646
11 8 cuckoo 12487255
13 16 skip_list 4812408
14 16 cuckoo 20133317
